url,name,hybridizer,year,scape_height,bloom_size,bloom_season,ploidy,foliage_type,bloom_habit,bud_count,branches,seedling_num,color_description,parentage,image_url,fragrance,form,awards,sculpting,notes,rebloom,Region,primary_hybridizer,City,State,Country,parents
https://daylilydatabase.org/detail.php?id=175094&name=Extra Effort,Extra Effort,Rice-JA,2014.0,34.0,6.0,Midseason,Tetraploid,Dormant,Diurnal,17.0,3.0,13-11,"butter yellow self with fine saw tooth fringing on the petals, sepals are longer than the petals",((sdlg × sdlg) × (sdlg × sdlg)),https://daylilydatabase.org/AHSPhoto/E/Extra Effort.jpg,Fragrant,,None,Cristate,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=159501&name=Reining,Reining,Rice-JA,2009.0,24.0,5.5,Early-Midseason,Tetraploid,Semi-Evergreen,Diurnal,20.0,3.0,R-78,rose pink with light gold edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/R/reining.jpg,Unknown,,JC 2009,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=198277&name=Energy Gain of One,Energy Gain of One,Rice-JA,2023.0,40.0,8.0,Early-Midseason,Diploid,Dormant,Diurnal,18.0,3.0,R87,Pale lavender.,(Blue Dolphin × Purple Eclipse),https://daylilydatabase.org/AHSPhoto/E/Energy_Gain_of_One_1675788036.jpg,Unknown,Unusual FormCrispate,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Purple Eclipse,Blue Dolphin"
https://daylilydatabase.org/detail.php?id=163754&name=Laguna,Laguna,Rice-JA,2010.0,28.0,7.0,Midseason-Late,Tetraploid,Dormant,Diurnal,18.0,3.0,31,violet bitone with pink eye above green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/L/LAGUNA (31).jpg,Unknown,Unusual FormCascade,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=172484&name=Executive Producer,Executive Producer,Rice-JA,2013.0,38.0,6.0,Early-Midseason,Tetraploid,Dormant,Diurnal,22.0,4.0,12-1,yellow pink blend with frilled yellow gold edge and green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/E/EXECUTIVE PRODUCER.jpg,Fragrant,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=159507&name=Shattered Glass,Shattered Glass,Rice-JA,2010.0,28.0,6.0,Midseason,Tetraploid,Dormant,Diurnal,12.0,3.0,09-150,clear lemon yellow with green throat,(Bass Gibson × unknown),https://daylilydatabase.org/AHSPhoto/S/SHATTERED GLASS.jpg,Unknown,,HM 2015,,,1,10.0,John and Annette Rice,Paris,KY,United States,Bass Gibson
https://daylilydatabase.org/detail.php?id=193583&name=Lavender Glaciers,Lavender Glaciers,Rice-JA,2021.0,36.0,6.0,Midseason,Diploid,Dormant,Diurnal,18.0,3.0,A J42,Pale orchid bitone.,(Blue Dolphin × Texas Feathered Fancy),https://daylilydatabase.org/AHSPhoto/L/Lavender_Glaciers_1617152971.jpg,Unknown,,None,Cristated,,0,10.0,John and Annette Rice,Paris,KY,United States,"Texas Feathered Fancy,Blue Dolphin"
https://daylilydatabase.org/detail.php?id=162260&name=Cheerful Frolic,Cheerful Frolic,Rice-JA,2009.0,30.0,6.0,Midseason,Tetraploid,Semi-Evergreen,Diurnal,25.0,5.0,Rose-Bi.,medium rose bitone with white midribs and large yellow watermark and slight gold edge with green eye,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/C/Cheerful_Frolic.jpg,Unknown,Unusual FormCascade,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=157883&name=Only in Dreams,Only in Dreams,Rice-JA,2007.0,38.0,7.0,Midseason-Late,Diploid,Dormant,Diurnal,24.0,4.0,LBDD,light lavender blue with lime green eye above lime green throat,(Regency Heights × Cerulean Star),https://daylilydatabase.org/AHSPhoto/O/Only_in_Dreams.jpg,Unknown,Unusual FormCascade,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Regency Heights,Cerulean Star"
https://daylilydatabase.org/detail.php?id=193581&name=Dancing in the Street,Dancing in the Street,Rice-JA,2021.0,42.0,7.5,Midseason,Diploid,Dormant,Diurnal,26.0,5.0,A J86,Rich purple with white edges and bronze watermark.,(Purple Eclipse × sdlg),https://daylilydatabase.org/AHSPhoto/D/Dancing_In_the_Street_1617152832.jpg,Unknown,Unusual FormCrispate,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,Purple Eclipse
